start,end,duration
2017-05-27 17:45:00,2017-05-27 17:50:00,0 days 00:05:00
2017-05-27 18:40:00,2017-05-27 18:45:00,0 days 00:05:00
2017-05-27 19:15:00,2017-05-27 19:25:00,0 days 00:10:00
2017-05-27 19:40:00,2017-05-27 19:45:00,0 days 00:05:00
2017-05-27 20:05:00,2017-05-27 20:10:00,0 days 00:05:00
2017-05-27 22:00:00,2017-05-27 22:05:00,0 days 00:05:00
2017-05-27 22:30:00,2017-05-27 22:35:00,0 days 00:05:00
2017-05-27 22:45:00,2017-05-27 23:05:00,0 days 00:20:00
2017-05-27 23:20:00,2017-05-27 23:25:00,0 days 00:05:00
2017-05-27 23:35:00,2017-05-27 23:45:00,0 days 00:10:00
2017-05-27 23:50:00,2017-05-27 23:55:00,0 days 00:05:00
2017-05-28 00:05:00,2017-05-28 00:15:00,0 days 00:10:00
2017-05-28 00:20:00,2017-05-28 01:00:00,0 days 00:40:00
2017-05-28 01:05:00,2017-05-28 01:15:00,0 days 00:10:00
2017-05-28 01:35:00,2017-05-28 01:40:00,0 days 00:05:00
2017-05-28 02:00:00,2017-05-28 02:20:00,0 days 00:20:00
2017-05-28 05:35:00,2017-05-28 05:45:00,0 days 00:10:00
2017-05-28 05:55:00,2017-05-28 06:05:00,0 days 00:10:00
2017-05-28 06:40:00,2017-05-28 06:45:00,0 days 00:05:00
2017-05-28 07:00:00,2017-05-28 07:05:00,0 days 00:05:00
2017-05-28 07:10:00,2017-05-28 07:15:00,0 days 00:05:00
2017-05-28 07:30:00,2017-05-28 07:50:00,0 days 00:20:00
2017-05-28 08:15:00,2017-05-28 08:35:00,0 days 00:20:00
2017-05-28 08:40:00,2017-05-28 08:50:00,0 days 00:10:00
2017-05-28 08:55:00,2017-05-28 09:00:00,0 days 00:05:00
2017-05-28 09:05:00,2017-05-28 09:15:00,0 days 00:10:00
2017-05-28 09:20:00,2017-05-28 09:25:00,0 days 00:05:00
2017-05-28 09:30:00,2017-05-28 09:35:00,0 days 00:05:00
2017-05-28 09:45:00,2017-05-28 09:50:00,0 days 00:05:00
2017-05-28 09:55:00,2017-05-28 10:05:00,0 days 00:10:00
2017-05-28 10:35:00,2017-05-28 10:40:00,0 days 00:05:00
2017-05-28 10:50:00,2017-05-28 11:05:00,0 days 00:15:00
2017-05-28 11:20:00,2017-05-28 11:25:00,0 days 00:05:00
2017-05-28 12:10:00,2017-05-28 12:15:00,0 days 00:05:00
2017-05-28 13:50:00,2017-05-28 14:00:00,0 days 00:10:00
2017-05-28 14:15:00,2017-05-28 14:20:00,0 days 00:05:00
2017-05-28 14:30:00,2017-05-28 14:40:00,0 days 00:10:00
2017-05-28 14:45:00,2017-05-28 14:50:00,0 days 00:05:00
2017-05-28 14:55:00,2017-05-28 15:05:00,0 days 00:10:00
2017-05-28 15:10:00,2017-05-28 15:15:00,0 days 00:05:00
2017-05-28 15:25:00,2017-05-28 15:30:00,0 days 00:05:00
